,year,station_id,station_name,workday,in_out_en,in_out,05_06,06_07,07_08,08_09,09_10,10_11,11_12,12_13,13_14,14_15,15_16,16_17,17_18,18_19,19_20,20_21,21_22,22_23,23_24,24_
287,2015,150,서울역,True,0,in,4185.936507936508,5270.063492063492,13408.047619047618,22234.634920634922,19565.698412698413,19605.666666666668,22042.460317460318,26324.444444444445,26012.04761904762,22790.88888888889,30475.79365079365,31286.4126984127,37084.857142857145,60798.57142857143,39196.5873015873,27734.539682539682,28042.0,23140.333333333332,11488.349206349207,1309.111111111111
288,2015,151,시청,True,0,in,1862.909090909091,3298.409090909091,6710.318181818182,9818.0,12516.318181818182,16757.045454545456,23339.545454545456,25177.136363636364,31588.954545454544,36883.86363636364,44180.40909090909,49803.09090909091,70188.86363636363,145727.04545454544,86768.81818181818,60715.22727272727,60848.045454545456,42030.045454545456,16732.81818181818,1786.8181818181818
289,2015,152,종각,True,0,in,4719.909090909091,5531.0,9730.636363636364,15193.272727272728,18334.090909090908,24958.454545454544,36780.0,46514.72727272727,62519.27272727273,70058.36363636363,81082.36363636363,90125.72727272728,119034.18181818182,224860.27272727274,143576.45454545456,117067.18181818182,137963.36363636365,124494.81818181818,58934.63636363636,4845.0
290,2015,153,종로3가,True,0,in,2636.4242424242425,2833.3939393939395,4606.848484848485,7409.727272727273,9547.484848484848,14677.69696969697,21845.757575757576,28436.515151515152,35687.78787878788,40079.969696969696,45588.78787878788,52133.121212121216,57416.42424242424,74531.27272727272,61514.84848484849,41148.121212121216,42895.69696969697,36613.666666666664,16367.30303030303,1861.3939393939395
291,2015,154,종로5가,True,0,in,2336.5454545454545,3562.090909090909,6089.727272727273,10356.727272727272,14448.181818181818,22419.636363636364,33577.0,43008.818181818184,54697.90909090909,63256.72727272727,70187.18181818182,70063.0,82339.36363636363,119846.27272727272,83056.63636363637,51880.27272727273,44355.545454545456,33796.27272727273,13373.818181818182,871.0
292,2015,155,동대문,True,0,in,11912.5,9093.40909090909,13893.318181818182,18471.31818181818,21120.909090909092,23346.772727272728,28562.227272727272,36586.90909090909,41389.13636363636,47751.818181818184,51552.318181818184,55117.27272727273,67443.54545454546,69320.31818181818,39653.181818181816,28211.727272727272,24312.454545454544,21235.363636363636,11319.59090909091,1693.409090909091
293,2015,156,신설동,True,0,in,4319.909090909091,6162.863636363636,13663.09090909091,17925.636363636364,13416.954545454546,13104.863636363636,15724.045454545454,17315.5,19113.454545454544,19180.636363636364,21306.590909090908,22465.772727272728,27393.227272727272,41372.545454545456,22598.045454545456,13608.136363636364,11765.727272727272,9741.954545454546,3646.1363636363635,306.1363636363636
294,2015,157,제기동,True,0,in,4653.909090909091,9846.09090909091,25226.0,32224.636363636364,24954.272727272728,27082.727272727272,35555.454545454544,42571.72727272727,48817.818181818184,53957.0,60046.63636363636,60570.36363636364,53647.545454545456,49127.72727272727,26965.090909090908,15557.636363636364,12958.181818181818,8430.90909090909,3341.0,221.72727272727272
295,2015,159,동묘앞,True,0,in,3180.409090909091,4465.909090909091,9072.272727272728,11582.545454545454,10466.227272727272,10608.818181818182,13269.09090909091,17516.454545454544,20727.636363636364,23255.272727272728,26738.363636363636,29352.81818181818,28485.954545454544,29938.045454545456,17588.772727272728,10968.772727272728,9078.40909090909,6765.181818181818,3106.9545454545455,441.8181818181818
296,2015,202,을지로입구,True,0,in,3416.4545454545455,3779.6363636363635,9361.0,16656.18181818182,22615.909090909092,29623.454545454544,39280.27272727273,45692.0,63224.818181818184,74104.72727272728,88971.90909090909,98305.54545454546,125383.54545454546,268483.9090909091,185448.54545454544,164963.81818181818,144000.9090909091,105891.09090909091,48633.90909090909,5946.909090909091
